id_apto,cc_postulado,fecha,ocupacion,interes,estado
7064632,1113021658,2023-01-26,Estudiante,Apartamento completo,pendiente
7947659,1413965625,2023-03-03,Docente,Apartamento completo,pendiente
7942732,1366046811,2023-02-25,Otra,Habitación,pendiente
7969564,1386156639,2022-12-15,Colaborador,Apartamento completo,pendiente
7963192,1653518287,2023-03-05,Docente,Apartamento completo,pendiente
7704371,1515663129,2022-11-23,Colaborador,Habitación,pendiente
7919704,1052622204,2023-01-04,Docente,Apartamento completo,pendiente
7867239,1279521143,2022-12-26,Colaborador,Habitación,pendiente
6024251,1404210997,2022-11-08,Otra,Apartamento completo,pendiente
7805259,1257567144,2023-03-04,Otra,Apartamento completo,pendiente
7919284,1041114224,2022-11-16,Docente,Habitación,pendiente
6279450,1760893789,2022-12-23,Colaborador,Habitación,pendiente
7595278,1165412595,2023-02-24,Otra,Habitación,pendiente
7961870,1322318231,2023-02-14,Estudiante,Apartamento completo,pendiente
7943353,1441678655,2023-01-19,Docente,Apartamento completo,pendiente
7865876,1863115401,2023-02-10,Otra,Apartamento completo,pendiente
7960587,1488058448,2022-11-07,Otra,Habitación,pendiente
7973644,1358948612,2023-02-12,Estudiante,Habitación,pendiente
6260701,1966692809,2022-11-07,Otra,Apartamento completo,pendiente
7776953,1134843682,2022-12-11,Colaborador,Habitación,pendiente
7960214,1122150707,2023-01-13,Docente,Apartamento completo,pendiente
7019783,1328811348,2022-11-20,Docente,Apartamento completo,pendiente
7204750,1882042257,2023-01-11,Colaborador,Habitación,pendiente
7963846,1134258946,2023-01-27,Colaborador,Habitación,pendiente
7829047,1876114259,2022-12-26,Docente,Apartamento completo,pendiente
7967782,1805153775,2022-11-09,Estudiante,Apartamento completo,pendiente
7556819,1695727292,2022-12-31,Docente,Apartamento completo,pendiente
7911402,1727709110,2023-03-02,Colaborador,Habitación,pendiente
7967012,1870764095,2023-03-15,Docente,Habitación,pendiente
7963204,1283360070,2022-11-28,Estudiante,Apartamento completo,pendiente
7869115,1624293932,2022-11-22,Colaborador,Apartamento completo,pendiente
7943309,1926868309,2022-11-17,Colaborador,Habitación,pendiente
7933066,1964454398,2022-11-01,Estudiante,Apartamento completo,pendiente
7903272,1876184402,2023-01-05,Estudiante,Habitación,pendiente
7944424,1807128592,2023-01-15,Colaborador,Apartamento completo,pendiente
7961935,1409765191,2023-02-10,Estudiante,Apartamento completo,pendiente
7967054,1288981839,2023-02-10,Docente,Habitación,pendiente
7906700,1175238991,2023-01-14,Colaborador,Habitación,pendiente
5713143,1460727131,2022-12-26,Docente,Apartamento completo,pendiente
7630297,1118992806,2022-12-22,Estudiante,Apartamento completo,pendiente
3890289,1447808976,2022-12-05,Estudiante,Apartamento completo,pendiente
7021925,1495211757,2023-03-06,Otra,Habitación,pendiente
7966164,1305623999,2022-11-10,Colaborador,Habitación,pendiente
7793450,1594830898,2023-03-03,Colaborador,Apartamento completo,pendiente
7060368,1004689503,2023-02-23,Docente,Habitación,pendiente
7954692,1471151238,2023-01-15,Docente,Apartamento completo,pendiente
7923210,1276590585,2023-01-26,Otra,Apartamento completo,pendiente
7902072,1182470261,2023-02-24,Otra,Habitación,pendiente
7906736,1035076919,2022-11-01,Colaborador,Apartamento completo,pendiente
7925811,1918883987,2023-02-07,Docente,Apartamento completo,pendiente
7960493,1597145148,2022-11-30,Estudiante,Apartamento completo,pendiente
7847460,1861454561,2022-11-16,Colaborador,Apartamento completo,pendiente
7960587,1834825858,2022-11-21,Docente,Habitación,pendiente
7970190,1021003291,2023-01-27,Estudiante,Habitación,pendiente
7712203,1556842335,2023-02-23,Colaborador,Apartamento completo,pendiente
7272362,1818185990,2022-12-31,Otra,Habitación,pendiente
7939392,1266988498,2023-02-28,Estudiante,Habitación,pendiente
7843795,1792429457,2022-12-23,Docente,Habitación,pendiente
7863009,1737955124,2022-12-06,Colaborador,Apartamento completo,pendiente
10025907,1771544733,2022-11-22,Colaborador,Apartamento completo,pendiente
7953620,1992326046,2022-11-08,Otra,Apartamento completo,pendiente
7569247,1950988628,2023-02-11,Estudiante,Habitación,pendiente
7494196,1594145595,2022-11-12,Colaborador,Habitación,pendiente
7972725,1551855159,2023-02-21,Otra,Habitación,pendiente
7966511,1431701409,2023-02-20,Colaborador,Apartamento completo,pendiente
5816842,1965988835,2022-11-09,Docente,Apartamento completo,pendiente
7569247,1715809760,2023-02-24,Otra,Habitación,pendiente
7907970,1460042334,2022-12-25,Otra,Apartamento completo,pendiente
10025646,1023878467,2023-01-27,Docente,Habitación,pendiente
7962377,1022743345,2023-01-14,Estudiante,Habitación,pendiente
7974890,1516600277,2022-12-10,Colaborador,Apartamento completo,pendiente
7059159,1441023243,2023-02-01,Docente,Habitación,pendiente
7492869,1776520166,2023-01-03,Colaborador,Habitación,pendiente
7914598,1218327629,2022-12-04,Colaborador,Habitación,pendiente
7865025,1864616042,2023-02-05,Otra,Habitación,pendiente
7857848,1590310047,2023-02-02,Estudiante,Apartamento completo,pendiente
7651903,1549148583,2023-01-29,Otra,Habitación,pendiente
7698014,1293816812,2023-03-08,Estudiante,Habitación,pendiente
7117988,1626941192,2023-02-14,Colaborador,Apartamento completo,pendiente
7867714,1795216393,2022-12-14,Docente,Habitación,pendiente
7956003,1672201112,2023-01-09,Docente,Habitación,pendiente
7960922,1217859122,2023-01-18,Docente,Habitación,pendiente
4678411,1703849554,2022-12-18,Otra,Habitación,pendiente
7545550,1451528053,2023-02-17,Estudiante,Habitación,pendiente
7969529,1100203642,2022-11-12,Otra,Habitación,pendiente
7942380,1344452564,2022-12-10,Otra,Apartamento completo,pendiente
7939959,1207196763,2022-12-29,Colaborador,Habitación,pendiente
7948739,1317719629,2022-11-14,Otra,Habitación,pendiente
7866295,1258533724,2023-01-07,Otra,Habitación,pendiente
7970729,1996527296,2023-01-09,Docente,Habitación,pendiente
7909449,1980743862,2022-11-13,Estudiante,Habitación,pendiente
7893405,1590715409,2022-12-14,Otra,Habitación,pendiente
7938362,1969540837,2023-02-04,Docente,Apartamento completo,pendiente
7919766,1178207074,2023-01-02,Estudiante,Apartamento completo,pendiente
7968237,1976078302,2023-01-18,Estudiante,Apartamento completo,pendiente
7960328,1826527687,2023-01-07,Otra,Habitación,pendiente
7907281,1444000931,2023-03-13,Otra,Apartamento completo,pendiente
6558607,1035153608,2023-01-24,Docente,Habitación,pendiente
7204750,1728670295,2023-02-01,Colaborador,Apartamento completo,pendiente
7969879,1511233703,2022-12-11,Colaborador,Habitación,pendiente
7888585,1230427724,2022-11-21,Docente,Habitación,pendiente
7929707,1665589599,2023-01-12,Docente,Apartamento completo,pendiente
7124999,1133751249,2022-12-09,Otra,Apartamento completo,pendiente
7938791,1433103958,2023-01-10,Otra,Habitación,pendiente
7941601,1040703840,2022-12-18,Otra,Habitación,pendiente
7865028,1709892243,2022-11-11,Docente,Habitación,pendiente
7883063,1307233860,2023-01-15,Docente,Apartamento completo,pendiente
7708063,1261343693,2023-03-09,Colaborador,Habitación,pendiente
7741504,1419412375,2023-02-17,Estudiante,Apartamento completo,pendiente
7948711,1654662439,2023-02-26,Otra,Habitación,pendiente
7124999,1715463062,2023-01-05,Colaborador,Habitación,pendiente
7913996,1164227436,2023-02-15,Docente,Habitación,pendiente
7125039,1017387298,2023-01-22,Otra,Habitación,pendiente
7918893,1944365350,2022-11-23,Docente,Apartamento completo,pendiente
7227817,1219561421,2023-01-15,Estudiante,Apartamento completo,pendiente
7974436,1408207675,2023-02-12,Colaborador,Apartamento completo,pendiente
7854425,1773827729,2022-12-14,Colaborador,Apartamento completo,pendiente
7954794,1696563497,2023-01-23,Colaborador,Habitación,pendiente
7175533,1463182001,2023-01-26,Otra,Habitación,pendiente
7961920,1517603521,2023-02-05,Docente,Habitación,pendiente
6067717,1013299659,2022-12-25,Estudiante,Apartamento completo,pendiente
7936517,1523207198,2023-02-25,Colaborador,Habitación,pendiente
7019783,1146272035,2022-12-12,Estudiante,Apartamento completo,pendiente
7961727,1648936465,2023-01-05,Otra,Apartamento completo,pendiente
7627585,1444079303,2022-12-02,Estudiante,Apartamento completo,pendiente
7966113,1530208723,2023-03-14,Otra,Habitación,pendiente
4678332,1081732767,2023-01-30,Otra,Apartamento completo,pendiente
7918922,1099567314,2022-12-12,Otra,Apartamento completo,pendiente
7937441,1356712240,2022-11-22,Estudiante,Habitación,pendiente
7965733,1076223224,2023-02-02,Docente,Habitación,pendiente
7965021,1207652479,2022-11-01,Docente,Habitación,pendiente
7913996,1770195381,2022-12-26,Otra,Habitación,pendiente
6683249,1877445704,2023-03-05,Estudiante,Apartamento completo,pendiente
7893689,1113302943,2022-11-28,Colaborador,Habitación,pendiente
7939254,1422522758,2023-02-04,Estudiante,Apartamento completo,pendiente
7911660,1868328834,2023-01-05,Otra,Apartamento completo,pendiente
7087876,1631409736,2023-02-04,Estudiante,Habitación,pendiente
7942024,1522016014,2022-12-01,Otra,Apartamento completo,pendiente
7172507,1567288572,2023-03-02,Docente,Apartamento completo,pendiente
7969643,1007290432,2023-02-27,Colaborador,Habitación,pendiente
7857487,1554121614,2022-12-12,Colaborador,Habitación,pendiente
7764225,1630714480,2023-01-21,Docente,Apartamento completo,pendiente
7964913,1902678183,2022-11-30,Colaborador,Habitación,pendiente
10025646,1804814255,2023-01-07,Estudiante,Apartamento completo,pendiente
7781541,1342251397,2023-01-20,Estudiante,Habitación,pendiente
7942375,1542759855,2023-02-26,Docente,Habitación,pendiente
7943888,1033638316,2022-11-09,Otra,Apartamento completo,pendiente
7896799,1607428425,2023-01-01,Otra,Apartamento completo,pendiente
7808507,1405208899,2022-11-13,Colaborador,Apartamento completo,pendiente
7902144,1081439346,2022-12-08,Estudiante,Habitación,pendiente
7912673,1563424643,2023-02-22,Otra,Apartamento completo,pendiente
